التاريخ,نوع التحصيل,شركة الشحن,المبلغ المحصل (جم),عدد الشحنات,حالة التحصيل,إيصال التحصيل,,,,,,,,,,,,,,
26/01/19,شركة شحن أوفرسايز,"4024 19/01/2026 من الشركة للعميل 20,625.00",EGP 20٬625٫00,,,,,,,,,,,,,,,,,
26/01/20,شركة شحن أوفرسايز,"4053 20/01/2026 من الشركة للعميل 21,940.00",EGP 21٬940٫00,,,,,,,,,,,,,,,,,
26/01/21,شركة شحن أوفرسايز,"4078 21/01/2026 من الشركة للعميل 20,665.00",EGP 20٬665٫00,,,,,,,,,,,,,,,,,
26/01/22,شركة شحن أوفرسايز,"4100 22/01/2026 من الشركة للعميل 13,380.00",EGP 13٬380٫00,,,,,,,,,,,,,,,,,
26/01/24,شركة شحن أوفرسايز,"4126 24/01/2026 من الشركة للعميل 25,000.00",EGP 25٬000٫00,,,,,,,,,,,,,,,,,
26/01/25,شركة شحن أوفرسايز,"4147 25/01/2026 من الشركة للعميل 20,660.00",EGP 20٬660٫00,,,,,,,,,,,,,,,,,
26/01/26,شركة شحن أوفرسايز,"4180 26/01/2026 من الشركة للعميل 28,055.00",EGP 28٬055٫00,,,,,,,,,,,,,,,,,
26/01/27,شركة شحن أوفرسايز,"4210 27/01/2026 من الشركة للعميل 19,515.00",EGP 19٬515٫00,,,,,,,,,,,,,,,,,
26/01/28,شركة شحن أوفرسايز,"4250 28/01/2026 من الشركة للعميل 19,360.00",EGP 19٬360٫00,,,,,,,,,,,,,,,,,
26/01/29,شركة شحن أوفرسايز,"4268 29/01/2026 من الشركة للعميل 20,400.00",EGP 20٬400٫00,,,,,,,,,,,,,,,,,
26/01/31,شركة شحن أوفرسايز,"4291 31/01/2026 من الشركة للعميل 7,420.00",EGP 7٬420٫00,,,,,,,,,,,,,,,,,
26/02/01,شركة شحن أوفرسايز,"4310 01/02/2026 من الشركة للعميل 21,650.00",EGP 21٬650٫00,,,,,,,,,,,,,,,,,
26/02/02,شركة شحن أوفرسايز,"4334 02/02/2026 من الشركة للعميل 19,850.00",EGP 19٬850٫00,,,,,,,,,,,,,,,,,
26/01/17,شركة شحن عايدة,"3973 17/01/2026 من الشركة للعميل 90,000.00",EGP 90٬000٫00,,,,,,,,,,,,,,,,,
26/01/18,شركة شحن عايدة,"3994 18/01/2026 من الشركة للعميل 7,295.00",EGP 7٬295٫00,,,,,,,,,,,,,,,,,
26/01/19,شركة شحن عايدة,"4023 19/01/2026 من الشركة للعميل 29,335.00",EGP 29٬335٫00,,,,,,,,,,,,,,,,,
26/01/20,شركة شحن عايدة,"4052 20/01/2026 من الشركة للعميل 34,635.00",EGP 34٬635٫00,,,,,,,,,,,,,,,,,
26/01/21,شركة شحن عايدة,"4077 21/01/2026 من الشركة للعميل 25,730.00",EGP 25٬730٫00,,,,,,,,,,,,,,,,,
26/01/22,شركة شحن عايدة,"4099 22/01/2026 من الشركة للعميل 24,060.00",EGP 24٬060٫00,,,,,,,,,,,,,,,,,
26/01/24,شركة شحن عايدة,"4127 24/01/2026 من الشركة للعميل 15,120.00",EGP 15٬120٫00,,,,,,,,,,,,,,,,,
