التاريخ,البند الرئيسي,تفاصيل,أونلاين / مصنع,المبلغ (جم),طريقة الدفع,ملاحظات,,,,,,,,,,,,,,,,,,,
25/12/11,اكراميات,150 مشال,مصنع,EGP 150٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/11,سلف اونلاين,1000 سلفه شهد,أونلاين,EGP 1٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,سلف مصنع,١٠٠ سلفه هايدى,مصنع,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,انتقالات,٤٠ اسكوتر,مصنع,EGP 40٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,إعلانات عايدة,٤٩ الف عايدة يوم الخميس,أونلاين,EGP 49٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,إعلانات اوفر,١٠ الف اوفر سايز يوم الخميس,أونلاين,EGP 10٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,إعلانات عايدة,٢٦٥٠٠ عايدة,أونلاين,EGP 26٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,إعلانات اوفر,٦٠٠٠ الف اوفر سايز,أونلاين,EGP 6٬000٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,اكراميات,اكرمية خدمة عملاء شركة شحن,مصنع,EGP 2٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,موديل وبلوجر,بلوجر عايدة,أونلاين,EGP 3٬500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,مستلزمات اونلاين,٢٠٠ شوالة,أونلاين,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,مستلزمات اونلاين,١٠٠ فليرات,أونلاين,EGP 100٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/13,موديل وبلوجر,باقي حساب بلوجر,أونلاين,EGP 500٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,اكراميات,٢٠٠ مشال,مصنع,EGP 200٫00,نقدي,,,,,,,,,,,,,,,,,,,,
25/12/14,مستلزمات تصنع,900 خيط,مصنع,EGP 900٫00,نقدي,,,,,,,,,,,,,,,,,,,,
